"","station","location","latitude","longitude"
"1","PCT1966","Iceberg Pass",48.3833,-122.9167
"2","PCT1971","Colville Island",48.4,-122.8167
"3","PUG1728","Point Colville",48.4181,-122.7812
"4","PUG1727","Lawson Reef",48.4125,122.7403
"5","PUG1702","Rosario Strait",48.4581,-122.7501
"6","PUG1730","Lopez Pass",48.4797,-122.8189
"7","PCT2006","Burrows Bay",48.4628,-122.6828
"8","PUG1729","Belle Rock",48.4968,-122.7308
"9","PCT2026","Green Point",48.5047,-122.7062
"10","PUG1731","Fontleroy Light",48.5216,-122.7707
"11","PUG1733","Thatcher Pass",48.5274,-122.804
"12","PCT2046","Frost Willow Island",48.5392,-122.8308
"13","PUG1732","Strawberry Island",48.561,-122.7543
"14","PUG1704","Peavine Pass",48.5871,-122.8193
"15","PUG1705","Obstruction Pass",48.6033,-122.8127
"16","PUG1706","Peapod Rocks",48.6224,-122.7476
"17","PCT2071","Barnes Island",48.6858,-122.7888
"18","PCT2076","Raccoon Island",48.6122,-122.7022
"19","PCT2126","Towhead Island",48.6442,-122.6587
"20","PUG1707","Sinclair Island",48.6794,-122.7147
"21","PUG1708","Lawrence Point",48.7326,-122.8864
"22","PUG1712","Parker Reef",48.4,-123
"23","PCT1416","Cattle Point",48.384,-123.0157
"24","PUG1742","Cattle Point 2",48.4344,-122.9466
"25","PUG1703","SJC South",48.461,-122.952
"26","PCT2191","King's Point",48.4833,-122.9558
"27","PUG1746","Pear Point",48.5114,-122.9529
"28","PUG1745","Point George",48.5567,-122.9985
"29","PUG1723","Upright Channel",48.5538,-122.9226
"30","PUG1721","Wasp Passage",48.5925,-122.9896
"31","PUG1720","Spring Passage",48.6115,-123.0341
"32","PUG1719","Spieden Channel",48.6278,-123.1116
"33","PUG1715","President Channel",48.6734,-123.006
"34","PUG1722","Harney Passage",48.5897,-122.9217
"35","PUG1744","Discovery Island",48.4521,-123.1554
"36","PUG1724","Lime Kiln",48.498,-123.1599
"37","PUG1718","Kellett Bluff",48.5887,-123.2258
"38","PCT2266","John's Island",48.6833,-123.15
"39","PUG1716","Waldron Island",48.7042,-123.1048
"40","PCT2281","Point Hammond",48.732,-123.0253
